City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
305,soligalich,59.0778,42.2864,3.55,86,75,3.09,RU,1686350442
306,murray bridge,-35.1167,139.2667,12.29,82,7,2.56,AU,1686350442
307,tayoltita,24.0833,-105.9333,33.45,20,10,3.25,MX,1686350443
308,puerto aysen,-45.4,-72.7,2.68,99,97,1.75,CL,1686350443
309,rampur,28.8167,79.0333,30.1,22,0,2.14,IN,1686350443
310,kone,-21.0595,164.8658,23.09,64,71,2.37,NC,1686350444
311,el granada,37.5027,-122.4694,23.24,67,40,9.26,US,1686350444
312,alaghsas,17.0187,8.0168,30.03,41,43,4.32,NE,1686350444
313,peoria heights,40.7473,-89.574,26.73,33,62,0.61,US,1686350445
314,tocopilla,-22.092,-70.1979,17.9,77,23,3.92,CL,1686350445
315,al lagowa,11.4,29.1333,29.14,54,99,1.74,SD,1686350445
316,bamboo flat,11.7,92.7167,28.05,78,100,4.12,IN,1686350446
317,diamantino,-14.4086,-56.4461,27.29,45,33,1.73,BR,1686350446
318,flying fish cove,-10.4217,105.6791,24.82,88,100,4.12,CX,1686350446
319,odda,60.0691,6.5457,15.26,69,99,1.98,NO,1686350446
320,ostersund,63.1792,14.6357,12.25,35,94,7.72,SE,1686350447
321,remire-montjoly,4.9167,-52.2667,26.02,89,0,1.03,GF,1686350447
322,laojunmiao,39.8333,97.7333,20.29,15,100,1.57,CN,1686350447
323,okhotsk,59.3833,143.3,10.43,75,97,3.92,RU,1686350448
324,kidal,18.4411,1.4078,35.4,11,10,4.28,ML,1686350448
325,happy valley-goose bay,53.3168,-60.3315,15.17,55,75,4.12,CA,1686350448
326,youhao,47.8667,128.8333,14.6,94,100,1.8,CN,1686350449
327,barras,-4.2444,-42.2944,26.02,72,34,2.73,BR,1686350449
328,nampula,-15.1165,39.2666,19.97,88,0,3.6,MZ,1686350449
329,castlemaine,-37.0667,144.2167,7.38,90,34,1.61,AU,1686350449
330,mubende,0.5606,31.39,15.23,86,63,0.51,UG,1686350450
331,constitucion,-35.3333,-72.4167,10.41,57,78,2.56,CL,1686350450
332,caleta de carquin,-11.0925,-77.6267,21.41,78,14,5.74,PE,1686350451
333,dwarka,22.2394,68.9678,28.94,87,8,5.88,IN,1686350451
334,wewak,-3.5534,143.6268,26.93,85,91,1.7,PG,1686350451
335,khash,28.2211,61.2158,24.07,34,7,2.84,IR,1686350452
336,sitka,57.0531,-135.33,11.94,87,100,5.14,US,1686350452
337,thunder bay,48.4001,-89.3168,26.95,36,100,3.09,CA,1686350400
338,salekhard,66.53,66.6019,7.29,52,61,3.36,RU,1686350453
339,novodvinsk,64.4165,40.8122,3.62,84,72,4.5,RU,1686350453
340,cape coast,5.1053,-1.2466,26.17,82,35,5.66,GH,1686350453
341,cabo san lucas,22.8909,-109.9124,32.01,57,0,4.12,MX,1686350275
342,tazovsky,67.4667,78.7,2.95,69,25,3.59,RU,1686350454
343,sao miguel do araguaia,-13.275,-50.1628,26.18,44,28,1.23,BR,1686350454
344,fortuna,40.5982,-124.1573,15.52,90,100,5.14,US,1686350454
345,coruripe,-10.1256,-36.1756,23.98,89,6,3.77,BR,1686350184
346,sechura,-5.5569,-80.8222,26.4,63,30,7.46,PE,1686350455
